fid2,ID_LINE,ID_POINT,DISTANCE,OVERLAND,X,Y,Z
4921,21,4921,116.33555651,116.78177077,143286.20934,2660329.4661,-44.069999695
4922,21,4922,116.87414705,117.32369279,143286.40954,2660328.9661,-44.129997253
4923,21,4923,117.41273759,117.86237619,143286.60974,2660328.4661,-44.13999939
4924,21,4924,117.95132813,118.40328255,143286.80994,2660327.9661,-44.090000153
4925,21,4925,118.48991867,118.94224432,143287.01014,2660327.4661,-44.11000061
4926,21,4926,119.02850921,119.48231825,143287.21033,2660326.9661,-44.069999695
4927,21,4927,119.56709975,120.02322461,143287.41053,2660326.4661,-44.020000458
4928,21,4928,120,120.46345445,143287.57145,2660326.0642,-44.099998474
4929,22,4929,0,0,143157.42264,2660403.2146,-44.450000763
4930,22,4930,0.5385905394,0.538683406,143157.62283,2660402.7146,-44.439998627
4931,22,4931,1.0771810788,1.0781087446,143157.82303,2660402.2146,-44.469997406
4932,22,4932,1.6157716182,1.616699284,143158.02323,2660401.7146,-44.469997406
4933,22,4933,2.1543621576,2.1553826899,143158.22343,2660401.2146,-44.479999542
4934,22,4934,2.6929526971,2.694344458,143158.42363,2660400.7146,-44.5
4935,22,4935,3.2315432365,3.2333062261,143158.62383,2660400.2146,-44.520000458
4936,22,4936,3.7701337759,3.7727315647,143158.82403,2660399.7146,-44.549999237
4937,22,4937,4.3087243153,4.3121569033,143159.02423,2660399.2146,-44.579998016
4938,22,4938,4.8473148547,4.8530632656,143159.22443,2660398.7146,-44.629997253
4939,22,4939,5.3859053941,5.3961841182,143159.42463,2660398.2146,-44.700000763
4940,22,4940,5.9244959335,5.9370904806,143159.62483,2660397.7146,-44.75
4941,22,4941,6.4630864729,6.4815897476,143159.82503,2660397.2146,-44.829998016
4942,22,4942,7.0016770123,7.0210152983,143160.02523,2660396.7146,-44.86000061
4943,22,4943,7.5402675517,7.5610889388,143160.22543,2660396.2146,-44.899997711
4944,22,4944,8.0788580912,8.1011628619,143160.42563,2660395.7146,-44.939998627
4945,22,4945,8.6174486306,8.6398461971,143160.62582,2660395.2146,-44.930000305
4946,22,4946,9.15603917,9.1807529121,143160.82602,2660394.7146,-44.879997253
4947,22,4947,9.6946297094,9.7455353008,143161.02622,2660394.2146,-44.709999084
4948,22,4948,10.233220249,10.295244227,143161.22642,2660393.7146,-44.599998474
4949,22,4949,10.771810788,10.834205995,143161.42662,2660393.2146,-44.579998016
4950,22,4950,11.310401328,11.373167763,143161.62682,2660392.7146,-44.599998474
4951,22,4951,11.848991867,11.912593102,143161.82702,2660392.2146,-44.569999695
4952,22,4952,12.387582406,12.45155487,143162.02722,2660391.7146,-44.590000153
4953,22,4953,12.926172946,12.990238276,143162.22742,2660391.2146,-44.579998016
4954,22,4954,13.464763485,13.529663826,143162.42762,2660390.7146,-44.61000061
4955,22,4955,14.003354025,14.069737467,143162.62782,2660390.2146,-44.649997711
4956,22,4956,14.541944564,14.60981139,143162.82802,2660389.7146,-44.689998627
